,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,market,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_for_years
0,615,within an hour,1.0,0.98,t,virginia village,2,t,t,virginia village,denver,80246,Denver,39.69585,-104.92582,t,guesthouse,entire home/apt,2,1.0,0.0,0.0,real bed,56.0,,1500.0,50.0,1,15.0,1,400,1,1,400,400,1.0,400.0,5,25,48,323,58,11,3.819178082191781,0.0027397260273972603,95.0,10.0,10.0,10.0,10.0,9.0,9.0,t,f,strict_14_with_grace_period,f,f,3,3,0,0,1.25,11.986301369863014
1,666,within an hour,1.0,0.99,t,highland,3,t,t,highland,denver,80211,Denver,39.76703,-105.00256,t,guesthouse,entire home/apt,3,1.0,2.0,2.0,futon,140.0,,150.0,75.0,2,25.0,3,29,3,3,29,29,3.0,29.0,5,17,39,39,118,55,1.8794520547945206,0.0547945205479452,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,t,t,2,2,0,0,5.15,11.983561643835616
2,783,,,,f,five points,1,t,t,five points,denver,80205,Denver,39.76551,-104.97901999999999,t,loft,entire home/apt,3,1.5,1.0,1.0,real bed,179.0,,,50.0,1,0.0,185,190,185,185,190,190,185.0,190.0,0,0,25,299,87,0,11.123287671232877,4.178082191780822,97.0,10.0,10.0,10.0,10.0,9.0,9.0,t,f,strict_14_with_grace_period,f,f,1,1,0,0,0.64,11.975342465753425
3,933,within an hour,1.0,0.93,t,north park hill,2,t,t,north park hill,denver,80207,Denver,39.753609999999995,-104.91237,t,house,private room,3,1.0,1.0,1.0,real bed,61.0,1275.0,,10.0,1,5.0,1,300,1,1,300,300,1.0,300.0,12,42,72,162,600,30,11.26027397260274,0.03287671232876712,97.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,flexible,f,f,2,0,2,0,4.38,11.947945205479453
4,933,within an hour,1.0,0.93,t,north park hill,2,t,t,north park hill,denver,80207,Denver,39.75438,-104.91156000000001,t,house,private room,2,1.0,1.0,1.0,real bed,45.0,975.0,,10.0,1,5.0,4,365,4,4,365,365,4.0,365.0,0,0,0,0,180,6,11.35890410958904,0.36712328767123287,97.0,10.0,9.0,10.0,10.0,10.0,10.0,t,f,flexible,f,f,2,0,2,0,1.3,11.947945205479453
5,2150,within an hour,1.0,1.0,f,baker,3,t,t,baker,denver,80223,Denver,39.719809999999995,-104.99649,t,guesthouse,entire home/apt,2,1.0,0.0,1.0,real bed,95.0,,150.0,100.0,2,100.0,1,120,1,1,1125,1125,1.0,1125.0,0,12,39,218,48,11,3.43013698630137,0.2465753424657534,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,1,1,0,0,1.15,11.876712328767123
6,2284,,,,f,,1,t,t,hale,denver,80220,Denver,39.739959999999996,-104.93173,t,apartment,entire home/apt,2,1.0,1.0,1.0,real bed,76.0,,100.0,30.0,1,25.0,180,1125,180,180,1125,1125,180.0,1125.0,24,54,84,358,12,0,2.304109589041096,1.6904109589041096,96.0,10.0,9.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,f,f,1,1,0,0,0.43,11.868493150684932
7,135298,within a few hours,1.0,1.0,t,west highland,1,t,t,west highland,denver,80211,Denver,39.761790000000005,-105.02845,t,guest suite,entire home/apt,2,1.0,1.0,1.0,real bed,110.0,1820.0,0.0,0.0,2,100.0,4,730,4,4,1125,1125,4.0,1125.0,11,38,66,341,71,8,9.808219178082192,0.36712328767123287,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,t,moderate,f,f,1,1,0,0,0.59,10.09041095890411
8,666,within an hour,1.0,0.99,t,highland,3,t,t,highland,denver,80211,Denver,39.765879999999996,-105.00545,t,cottage,entire home/apt,1,1.0,1.0,1.0,real bed,111.0,2200.0,250.0,90.0,1,10.0,25,60,15,25,60,60,22.3,60.0,0,0,26,26,617,51,9.898630136986302,0.2958904109589041,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,t,t,2,2,0,0,5.12,11.983561643835616
9,385864,within an hour,1.0,0.63,t,capitol hill,1,t,t,capitol hill,denver,80203,Denver,39.73276,-104.98035,t,apartment,entire home/apt,3,1.0,1.0,2.0,real bed,130.0,,0.0,20.0,2,50.0,3,1124,3,5,1124,1124,3.9,1124.0,0,0,4,191,116,11,8.95068493150685,0.08767123287671233,95.0,10.0,9.0,10.0,10.0,10.0,10.0,t,f,flexible,t,t,1,1,0,0,1.06,9.386301369863014
10,98912,within a few hours,1.0,0.93,t,,1,t,t,overland,englewood,80110,Denver,39.66787,-104.98969,t,guesthouse,entire home/apt,2,1.0,1.0,1.0,real bed,75.0,1195.0,0.0,55.0,2,0.0,3,120,3,3,120,120,3.0,120.0,0,0,0,198,171,20,9.271232876712329,0.12054794520547946,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,f,f,1,1,0,0,1.52,10.271232876712329
11,489506,within an hour,1.0,0.96,t,north park hill,2,t,t,south park hill,denver,80207,Denver,39.74955,-104.93238999999998,t,house,private room,2,1.0,1.0,1.0,real bed,90.0,,0.0,25.0,2,0.0,1,1125,1,1,1125,1125,1.0,1125.0,19,48,78,78,191,9,8.493150684931507,0.13972602739726028,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t,t,flexible,f,f,3,1,2,0,1.85,9.238356164383562
12,526354,within a day,0.75,0.25,f,washington park,0,t,t,washington park,denver,80209,Denver,39.69688,-104.96231999999999,t,house,entire home/apt,12,4.0,5.0,7.0,real bed,411.0,5500.0,500.0,150.0,8,30.0,3,21,3,4,1125,1125,3.1,1125.0,0,15,21,121,26,2,8.783561643835617,0.0410958904109589,99.0,10.0,10.0,10.0,10.0,10.0,9.0,t,t,strict_14_with_grace_period,t,t,1,1,0,0,0.24,9.197260273972603
13,923646,within an hour,1.0,1.0,f,south park hill,1,t,t,south park hill,denver,80220,Denver,39.7416,-104.93613,t,condominium,private room,1,1.0,1.0,1.0,real bed,38.0,1100.0,0.0,0.0,1,0.0,14,70,14,14,70,70,14.0,70.0,0,0,22,111,116,3,8.860273972602739,0.4849315068493151,94.0,10.0,9.0,9.0,10.0,10.0,9.0,t,f,moderate,t,t,1,0,1,0,1.08,8.90958904109589
